hours_studied,attendance_pct,previous_score,assignments_completed,sleep_hours,internet_usage,extracurricular_activity,family_support,score
6.2,96.2,77.8,8,9.2,1.8,low,medium,94.3
6.7,91.4,68.5,8,7.1,3.5,medium,medium,93.5
7.6,89.2,67.1,6,6.7,3.3,low,high,100.0
2.4,96.8,52.3,9,8.7,1.8,low,medium,85.0
5.2,82.2,69.8,8,8.8,3.3,medium,low,94.7
4.8,88.2,85.1,7,6.5,1.3,medium,high,93.1
4.4,87.9,70.3,10,5.8,2.4,low,medium,84.7
5.3,85.8,57.5,11,8.6,1.1,low,low,90.3
9.7,84.9,51.3,10,5.1,2.8,low,medium,82.1
3.8,88.6,57.9,5,5.1,1.8,medium,medium,71.6
8.4,88.3,75.9,8,6.8,4.0,medium,low,94.7
1.8,79.6,75.2,6,7.1,3.0,medium,medium,67.8
5.2,94.4,58.0,8,5.7,2.7,low,high,94.5
6.4,80.2,36.8,6,7.3,5.7,low,medium,74.8
7.5,86.3,76.3,11,7.3,3.6,low,medium,100.0
7.8,85.6,56.5,10,6.4,2.4,low,medium,100.0
8.0,90.9,80.3,11,9.4,2.1,medium,medium,100.0
5.1,71.0,58.7,11,7.5,1.2,low,medium,80.3
4.8,95.1,55.2,7,8.4,2.9,low,low,92.4
8.1,82.6,72.3,7,5.3,3.5,low,medium,100.0
5.5,97.8,100.0,12,5.2,0.1,low,medium,100.0
2.8,84.2,81.2,8,7.6,1.0,high,medium,95.3
3.2,87.6,72.0,5,9.2,2.2,high,medium,83.0
3.7,100.0,75.4,11,5.8,1.4,medium,medium,95.9
7.2,85.8,43.7,8,7.2,3.1,low,medium,88.6
6.4,97.9,53.2,12,5.5,3.3,medium,medium,100.0
7.7,88.3,32.3,9,6.1,2.8,medium,high,89.7
4.9,91.3,95.9,8,7.2,3.8,medium,high,100.0
6.4,88.6,92.9,12,6.4,2.1,low,high,100.0
7.6,94.8,75.9,4,5.4,2.9,low,high,99.1
5.2,82.5,72.0,7,5.4,1.5,low,high,85.1
7.1,80.1,46.7,6,4.7,3.4,low,low,77.7
4.3,82.9,66.7,3,7.6,3.1,medium,medium,81.7
5.1,88.8,96.9,10,7.7,1.2,high,medium,100.0
5.0,86.2,72.0,7,7.7,2.8,low,medium,84.1
3.0,93.7,61.5,10,5.9,2.9,medium,high,93.9
7.2,98.4,43.6,9,8.2,3.4,low,medium,92.4
4.8,80.2,90.7,10,7.8,3.5,low,low,100.0
6.0,82.1,68.9,7,7.0,1.9,medium,medium,95.0
7.2,76.5,43.6,6,6.8,4.1,low,low,85.3
7.1,100.0,56.1,8,6.2,3.8,high,medium,100.0
7.7,90.4,50.8,10,7.2,1.9,high,low,100.0
5.8,91.8,68.0,8,8.9,1.3,low,low,90.8
4.9,77.3,73.1,6,8.4,2.0,low,medium,85.6
5.8,88.0,62.5,5,6.7,0.8,low,medium,87.3
1.8,92.1,81.7,9,7.6,3.3,high,medium,92.2
2.4,86.0,71.2,7,5.7,4.8,low,low,81.8
2.7,96.6,85.9,8,7.9,5.1,medium,high,93.7
3.5,100.0,64.6,7,6.0,1.4,low,low,97.0
7.0,80.4,100.0,7,7.8,4.2,medium,medium,100.0
3.7,79.8,61.5,9,10.0,3.1,low,high,90.1
5.1,81.0,56.5,9,6.3,0.0,high,high,88.7
9.2,100.0,54.6,12,10.0,2.5,medium,medium,100.0
5.1,96.3,66.8,10,7.6,2.3,low,medium,90.3
7.8,86.9,44.2,12,6.1,4.8,low,high,93.2
3.7,88.3,74.4,6,6.0,1.7,medium,medium,91.5
5.5,81.5,41.4,4,9.8,3.8,medium,high,79.0
3.6,95.1,72.4,8,7.6,2.8,high,medium,91.6
5.2,85.0,49.7,10,6.3,0.8,low,high,85.6
8.1,85.9,64.3,10,6.8,2.2,high,high,100.0
1.7,92.9,79.1,11,7.5,5.3,low,medium,95.9
7.1,86.5,100.0,2,7.0,2.7,high,high,100.0
6.6,86.1,53.8,11,7.4,4.4,high,medium,100.0
4.5,88.1,67.7,9,9.1,4.3,medium,low,98.8
2.4,94.4,59.1,4,5.6,2.3,high,medium,74.2
6.2,100.0,57.0,10,7.8,1.1,medium,medium,100.0
4.7,92.7,59.3,8,6.9,1.3,medium,medium,80.6
6.6,94.4,82.4,9,6.4,5.2,low,medium,100.0
6.1,86.4,62.7,10,8.3,3.2,low,medium,98.1
10.0,82.3,100.0,9,5.2,0.4,medium,low,100.0
5.4,93.2,76.2,4,4.2,4.3,high,high,100.0
3.4,89.4,54.8,8,7.3,0.3,high,high,85.4
6.4,76.6,64.5,4,6.8,1.8,medium,low,75.7
6.5,85.4,58.0,10,5.4,3.1,high,high,92.1
9.4,87.3,82.0,11,4.9,6.8,medium,low,100.0
8.1,83.9,45.4,5,9.3,4.2,medium,medium,93.5
6.9,99.9,49.9,6,7.6,2.3,low,high,93.8
9.7,91.8,61.1,6,7.0,3.0,medium,low,98.9
3.0,99.0,80.2,7,9.6,4.4,medium,low,98.6
4.4,90.1,88.5,9,8.2,5.1,medium,high,98.8
3.7,88.7,90.7,7,9.1,2.6,medium,low,91.7
5.0,80.5,77.9,10,5.6,2.7,high,medium,100.0
2.6,88.1,68.8,11,5.5,1.8,high,medium,87.5
7.6,88.1,81.9,11,7.7,4.0,medium,low,99.3
5.4,77.1,52.8,5,7.5,4.5,medium,low,70.3
2.3,83.7,42.3,11,8.5,0.1,medium,high,90.6
3.5,85.4,76.5,12,5.0,2.4,medium,medium,94.0
6.8,91.3,54.9,12,7.8,1.2,medium,medium,100.0
8.1,91.7,69.0,8,8.2,3.2,high,medium,97.6
11.0,83.3,71.8,6,8.1,1.1,high,medium,100.0
13.3,91.8,73.7,6,6.5,1.0,medium,medium,100.0
7.0,86.5,84.1,5,7.6,4.7,low,high,100.0
3.5,65.0,82.5,8,6.1,2.8,medium,high,85.6
0.7,84.1,72.9,10,6.6,2.9,high,medium,91.0
6.7,96.6,63.4,11,5.7,3.6,high,medium,100.0
4.0,74.5,71.6,7,6.1,4.5,high,high,87.1
5.0,88.9,61.1,8,6.7,2.4,medium,medium,87.4
4.5,100.0,67.1,8,6.4,2.4,medium,medium,93.0
5.6,81.9,100.0,6,6.1,2.4,low,medium,100.0
8.7,88.0,72.7,10,5.4,4.6,medium,low,100.0
6.4,77.6,76.8,9,9.4,2.9,low,high,100.0
5.6,100.0,59.4,8,6.4,2.6,high,medium,97.0
3.4,87.3,85.3,9,7.4,3.6,low,medium,99.1
1.8,88.4,81.4,10,4.9,5.7,high,medium,92.1
4.8,98.8,81.5,10,8.6,3.1,medium,high,100.0
5.9,93.3,73.2,6,7.2,2.6,low,medium,93.5
10.4,81.0,85.5,10,6.5,5.9,medium,high,100.0
6.3,82.8,89.1,9,6.5,5.0,medium,high,97.0
8.5,92.0,74.2,7,8.0,4.8,medium,high,97.4
4.8,83.0,68.3,9,4.0,2.2,medium,medium,84.3
3.0,71.1,83.4,9,6.0,2.1,medium,high,89.9
3.6,87.6,56.4,11,6.9,0.2,low,medium,74.9
4.2,76.2,59.2,5,6.8,4.4,high,high,85.1
11.3,100.0,69.2,11,10.0,3.1,high,low,100.0
3.9,89.4,43.9,8,6.6,0.3,medium,medium,65.8
8.1,80.8,82.4,7,8.2,4.8,low,medium,94.4
3.7,82.4,55.6,7,9.2,2.5,medium,high,82.0
8.3,72.9,62.9,5,7.8,2.7,low,low,76.0
7.0,79.2,66.8,4,6.2,0.7,high,low,90.2
5.6,96.1,70.6,10,5.5,3.7,low,high,100.0
5.9,100.0,64.8,12,7.9,3.8,low,medium,100.0
4.4,93.8,69.0,4,9.0,2.9,low,medium,79.4
7.1,87.3,69.1,6,7.7,2.4,medium,low,94.0
4.9,84.5,63.3,10,8.5,6.9,medium,high,92.1
2.9,80.3,58.4,8,10.0,1.2,medium,medium,82.4
2.8,100.0,86.2,10,8.0,1.9,low,medium,100.0
6.4,86.5,38.4,8,5.7,4.1,high,high,85.1
9.9,100.0,66.9,7,7.1,1.5,medium,high,100.0
6.4,99.1,63.0,7,8.6,1.4,low,medium,97.3
5.7,74.1,76.3,2,6.7,4.7,medium,low,76.0
6.7,82.7,48.2,5,8.8,3.9,medium,medium,88.0
9.3,82.6,62.5,10,6.9,3.7,medium,medium,100.0
6.5,87.4,68.5,11,7.4,3.3,low,low,99.9
5.0,87.5,86.1,12,6.6,2.0,medium,high,100.0
8.8,100.0,75.0,9,7.2,2.6,low,medium,100.0
7.1,79.4,52.2,2,7.3,2.9,medium,medium,76.6
9.8,89.8,62.7,6,5.1,4.3,medium,medium,97.5
6.5,92.9,83.3,11,6.5,3.6,medium,high,100.0
2.9,88.0,52.0,12,5.5,1.6,low,low,82.2
2.6,88.9,68.8,11,6.5,4.2,low,medium,87.7
10.1,79.6,69.9,7,6.0,0.5,low,medium,94.1
10.3,88.9,64.2,5,8.2,2.5,medium,high,100.0
5.6,92.1,100.0,8,8.2,1.3,low,medium,100.0
5.0,90.6,63.8,8,7.7,1.7,medium,medium,96.9
9.7,92.6,76.7,12,5.5,5.9,low,high,100.0
3.2,99.3,58.5,9,6.9,0.8,medium,medium,95.8
3.8,95.5,77.9,8,5.4,1.8,medium,low,91.8
7.6,88.6,83.1,8,6.8,3.8,low,low,96.1
5.0,78.6,61.2,9,7.8,2.3,medium,medium,87.3
6.0,83.2,69.2,10,8.2,3.2,medium,medium,97.6
5.6,86.2,56.6,6,7.6,5.1,medium,low,80.3
6.8,90.0,52.8,5,8.5,4.0,medium,medium,91.1
9.5,84.2,85.6,11,7.3,2.3,low,high,100.0
6.2,80.5,61.7,4,6.7,2.8,low,medium,70.5
7.6,78.5,33.8,12,8.0,3.8,medium,medium,90.3
0.9,74.8,96.5,3,8.1,4.0,high,low,63.3
5.9,86.1,58.0,7,6.4,3.0,low,medium,84.6
3.9,76.2,66.3,10,7.5,3.5,low,high,90.8
3.0,80.0,94.6,8,6.6,3.5,medium,medium,100.0
3.8,84.8,67.9,5,4.6,2.9,medium,medium,88.0
5.2,77.3,67.5,9,7.5,2.1,high,medium,99.4
8.3,91.0,51.6,8,5.4,4.1,low,low,84.7
2.7,93.9,45.5,7,7.4,3.4,high,medium,74.3
6.1,83.6,67.5,6,5.2,0.0,medium,low,79.7
4.8,84.5,75.4,8,6.1,1.8,medium,high,100.0
5.2,92.3,74.6,7,6.5,2.3,low,medium,86.6
8.5,82.3,62.8,12,8.4,2.7,low,medium,100.0
7.3,81.7,70.3,7,6.4,4.8,low,medium,88.8
9.3,97.6,42.4,7,5.7,7.8,medium,high,86.9
5.6,95.1,76.9,7,7.4,0.0,low,low,96.0
4.3,92.8,72.4,12,6.7,3.5,low,low,99.1
5.4,95.4,99.6,4,7.9,3.1,low,high,88.5
6.6,72.2,70.1,9,5.8,2.7,high,high,89.0
6.4,98.8,55.9,7,7.3,3.8,low,low,91.7
3.3,91.1,69.2,4,10.0,3.2,medium,low,82.7
6.2,96.1,65.1,6,6.7,2.5,medium,medium,89.6
6.6,91.1,76.5,9,7.2,3.0,high,low,100.0
12.3,88.4,70.4,6,5.0,3.8,medium,medium,96.4
10.7,85.8,51.1,9,6.0,3.7,medium,medium,95.6
3.9,90.9,45.5,12,7.6,3.3,low,medium,91.8
5.3,85.5,73.9,8,6.6,2.1,low,medium,90.0
2.3,94.9,90.7,4,7.7,7.2,low,high,93.0
4.5,75.3,71.2,6,7.5,3.5,medium,high,79.8
6.8,83.7,82.2,7,5.4,4.1,low,medium,92.0
9.0,100.0,85.2,7,8.2,2.2,medium,medium,100.0
4.2,83.0,74.0,8,5.5,3.3,medium,high,79.9
4.4,86.1,57.8,9,6.1,3.3,medium,medium,83.6
0.6,80.9,72.9,12,7.3,0.1,low,low,89.0
5.6,90.7,88.1,8,8.9,1.9,high,low,100.0
3.3,82.1,77.9,5,5.8,1.9,high,medium,92.2
4.7,86.5,81.2,11,7.2,2.1,low,low,96.7
3.8,94.8,63.1,11,7.2,1.4,low,high,84.0
5.8,82.4,67.0,9,7.8,3.1,high,low,95.9
1.6,94.3,68.2,7,8.4,5.1,high,medium,81.3
2.3,94.6,69.2,10,6.5,3.2,low,high,92.3
11.3,96.4,87.5,7,8.2,1.2,low,low,100.0
2.8,89.1,34.8,3,8.6,1.5,high,medium,65.3
3.3,100.0,70.5,9,9.1,2.4,medium,high,100.0
10.6,96.4,68.8,10,7.6,0.9,medium,low,100.0
13.3,90.6,49.4,12,7.2,3.5,low,medium,100.0
3.1,81.0,80.1,6,6.4,5.0,high,low,85.5
5.1,87.2,59.1,9,5.2,2.1,medium,medium,84.9
6.9,99.4,64.6,9,6.7,3.1,medium,medium,97.9
10.3,100.0,97.7,8,7.1,2.4,medium,high,100.0
3.5,99.8,85.1,8,6.9,2.1,low,medium,93.8
5.4,94.3,78.6,8,7.7,3.3,medium,medium,96.2
7.9,78.0,75.7,9,5.3,2.0,medium,high,91.4
7.1,91.9,67.5,10,6.8,1.8,medium,low,100.0
5.1,78.1,100.0,11,9.4,0.6,high,high,100.0
5.7,76.1,82.0,6,8.2,3.1,medium,medium,85.6
2.6,89.9,58.8,8,7.7,4.6,low,medium,86.7
5.4,92.2,49.0,7,7.5,4.1,low,medium,83.5
5.3,95.2,78.5,7,6.6,5.2,medium,low,89.3
6.6,92.0,69.2,4,4.9,2.0,low,high,93.6
4.6,92.3,48.6,8,7.5,4.3,medium,medium,82.9
7.2,80.1,76.4,9,4.1,1.3,low,high,89.3
8.5,87.2,66.0,8,6.6,4.1,low,high,100.0
6.4,75.9,78.0,8,7.0,5.5,low,medium,89.5
6.9,72.0,76.6,9,6.5,3.7,medium,high,100.0
6.1,93.9,60.9,12,9.6,5.5,low,low,97.5
6.0,82.0,79.5,7,9.2,2.1,medium,low,83.1
4.2,95.0,62.5,5,8.2,2.8,low,medium,94.6
6.8,96.9,63.5,8,5.9,1.6,high,low,95.2
5.8,83.0,62.0,12,9.3,3.1,medium,medium,100.0
11.2,92.7,87.0,5,7.7,3.4,medium,medium,100.0
9.9,82.7,65.8,10,5.9,3.0,high,medium,97.6
7.0,73.2,90.6,11,7.0,2.3,high,high,98.1
4.1,89.0,96.8,2,8.2,2.3,high,high,100.0
3.2,84.2,58.9,9,6.3,3.5,low,medium,73.5
9.0,84.5,26.2,10,7.2,2.8,low,high,98.0
6.7,100.0,85.7,7,7.4,1.3,medium,high,100.0
7.2,75.8,64.9,6,5.7,0.2,medium,high,90.9
1.6,91.1,57.0,7,6.7,2.1,medium,low,71.8
8.3,80.0,61.2,7,5.8,0.9,medium,medium,100.0
7.1,95.3,63.8,7,8.0,1.7,low,low,90.0
3.2,90.4,89.5,7,5.9,2.4,low,low,86.1
4.8,91.0,72.4,7,7.4,2.8,medium,low,94.7
6.7,80.4,89.3,11,5.3,2.0,medium,medium,100.0
6.1,81.9,77.4,5,5.6,6.3,high,low,83.0
5.3,95.4,65.4,4,5.6,1.1,medium,medium,83.1
5.7,100.0,64.1,11,6.7,4.8,low,medium,100.0
5.4,91.8,78.4,8,7.2,2.8,low,medium,100.0
6.4,80.8,82.3,7,7.4,2.0,low,medium,100.0
9.7,90.7,85.0,8,4.9,3.9,low,high,98.6
0.0,100.0,66.1,9,6.8,2.3,medium,high,91.2
5.4,88.8,72.6,7,6.1,1.8,medium,high,87.5
6.4,99.7,78.8,9,7.6,5.7,high,medium,100.0
6.7,82.1,64.2,6,6.7,0.0,medium,medium,84.5
5.1,87.7,53.0,7,6.9,2.6,low,low,77.6
1.6,93.0,57.9,2,6.1,3.3,medium,medium,62.4
6.8,91.2,66.4,11,9.1,5.1,low,high,91.6
10.3,81.9,79.9,8,5.5,2.4,low,low,100.0
2.2,81.5,88.9,10,6.5,7.0,medium,low,97.4
8.2,95.9,49.7,9,7.1,4.1,medium,high,99.1
5.2,97.5,61.0,9,6.7,0.0,low,medium,88.0
5.8,100.0,64.6,8,6.1,0.8,medium,medium,100.0
3.4,100.0,81.9,9,4.8,3.4,medium,high,98.3
5.2,89.1,62.1,6,6.2,1.3,low,medium,80.1
9.3,85.5,63.6,5,5.8,3.8,medium,high,85.0
7.5,98.8,48.8,8,9.0,2.3,low,medium,97.2
10.3,93.7,77.3,6,9.7,1.2,medium,medium,100.0
8.9,80.1,67.6,12,6.9,1.6,medium,low,100.0
7.1,79.7,60.2,9,5.3,4.3,medium,medium,92.6
10.4,91.9,66.1,6,7.9,0.0,medium,low,100.0
7.1,86.6,86.9,7,5.8,4.6,low,low,99.9
8.1,87.8,54.9,8,6.3,4.6,low,medium,91.4
5.3,96.6,57.4,8,6.2,2.5,medium,medium,93.0
6.2,94.1,88.8,9,6.4,0.9,low,low,100.0
4.3,98.6,71.1,8,6.6,3.8,low,low,100.0
8.5,72.5,80.0,5,5.4,2.3,medium,medium,85.4
3.1,90.0,76.0,3,6.2,0.7,low,low,82.8
8.0,93.6,69.5,7,8.2,5.9,medium,low,89.3
5.5,75.8,64.8,9,7.0,1.7,medium,high,99.0
8.9,82.8,82.5,7,7.2,0.8,medium,medium,100.0
7.9,81.3,87.4,11,4.3,3.4,high,high,100.0
10.6,88.2,86.3,8,8.1,2.9,medium,low,100.0
7.8,100.0,52.2,11,6.2,5.2,high,medium,100.0
2.1,100.0,89.6,11,8.3,2.4,medium,low,100.0
5.8,81.5,64.6,11,7.2,2.4,medium,medium,95.7
3.1,92.2,58.7,5,6.3,3.5,medium,high,77.3
4.7,92.5,67.5,8,5.0,3.3,high,high,100.0
9.8,91.1,82.5,11,9.6,3.3,medium,medium,100.0
7.6,91.2,78.1,9,8.0,3.4,high,medium,94.9
4.3,90.4,66.2,9,8.0,3.2,medium,medium,99.3
3.5,100.0,82.6,5,9.2,2.4,high,medium,99.9
6.1,96.8,72.1,12,7.3,4.2,medium,medium,100.0
3.0,79.5,61.4,6,8.6,2.5,low,medium,73.8
4.3,94.4,59.4,3,6.4,4.2,low,medium,70.4
6.8,95.1,76.2,7,7.9,5.1,medium,medium,96.4
8.9,90.5,68.8,2,6.2,2.0,low,medium,90.1
7.5,97.1,49.4,5,6.4,6.6,low,low,73.6
0.3,89.5,82.7,12,7.1,1.9,low,medium,96.3
6.8,89.6,62.8,7,5.5,1.9,medium,medium,91.9
6.2,89.0,93.9,4,7.4,3.8,low,medium,100.0
7.0,71.9,49.0,8,6.6,3.7,medium,medium,88.7
10.0,87.4,67.3,6,4.6,3.1,medium,medium,93.0
0.8,82.7,59.5,10,6.5,4.2,medium,medium,70.3
4.5,78.5,55.4,6,6.6,3.4,medium,low,71.2
7.5,99.5,62.7,9,8.0,6.1,low,medium,100.0
2.0,92.0,96.6,5,7.3,2.9,high,low,93.7
9.7,87.8,72.2,12,8.7,1.7,high,medium,100.0
6.9,83.5,58.1,9,7.6,2.2,low,medium,90.0
8.1,90.4,42.6,8,6.3,3.7,low,medium,90.9
4.6,95.9,44.2,7,6.9,3.7,medium,medium,73.2
8.0,81.4,62.0,7,6.6,3.3,high,medium,99.7
8.7,88.0,60.5,6,7.6,1.7,high,medium,90.1
6.6,94.9,66.6,6,7.1,4.7,high,low,81.9
6.6,72.5,35.9,12,6.2,5.9,high,high,100.0
6.7,87.5,68.6,7,7.0,3.0,medium,medium,94.5
3.8,84.6,85.4,3,7.6,5.7,low,medium,84.7
5.6,86.9,94.3,5,5.8,4.3,low,low,82.6
5.6,84.0,41.6,10,7.4,6.3,low,high,91.6
7.0,89.1,58.0,7,5.1,3.7,low,medium,94.5
8.5,100.0,57.2,8,8.3,3.2,low,medium,98.6
3.4,85.4,72.2,11,7.6,4.3,medium,medium,100.0
5.7,90.3,51.7,6,9.0,2.3,medium,medium,93.1
9.7,100.0,95.2,10,5.7,3.6,low,high,100.0
4.1,83.6,70.7,6,8.4,5.0,high,low,74.7
3.9,100.0,68.2,9,8.1,4.2,high,high,94.2
6.5,88.0,93.9,7,6.8,3.0,low,high,100.0
8.1,100.0,69.8,7,6.5,3.3,low,medium,100.0
6.0,94.0,76.0,10,5.7,4.1,medium,high,100.0
9.3,90.5,58.7,10,5.4,4.1,high,low,97.1
8.1,87.5,49.4,8,6.1,4.1,medium,medium,86.8
8.1,83.0,60.8,7,5.5,3.5,low,medium,97.8
7.4,88.6,100.0,12,8.9,1.8,medium,medium,100.0
11.8,95.2,79.5,9,5.2,2.0,high,medium,100.0
5.5,87.9,74.1,7,7.2,3.7,low,medium,96.3
1.0,85.5,55.4,6,7.5,4.2,medium,medium,77.3
10.0,86.0,83.7,11,7.4,4.1,medium,medium,100.0
4.9,95.9,49.6,8,7.5,2.0,low,medium,79.7
6.3,97.8,46.5,8,8.1,2.8,high,low,81.4
9.3,82.7,61.6,8,6.5,1.2,low,medium,100.0
2.0,82.7,99.3,9,7.1,0.9,high,low,97.1
2.9,91.0,98.5,8,6.6,3.1,medium,medium,100.0
2.0,100.0,63.2,11,8.6,5.0,low,high,96.1
4.0,97.2,59.9,11,9.5,3.1,medium,high,100.0
7.1,78.0,45.4,9,5.6,5.9,low,medium,87.6
7.3,85.9,71.2,11,4.6,2.8,low,low,100.0
6.7,80.6,72.4,8,7.7,3.0,low,medium,91.0
2.5,85.9,81.8,10,8.3,1.5,high,medium,100.0
0.2,100.0,83.7,11,9.3,2.5,high,low,93.0
6.1,76.6,67.0,11,7.9,1.2,low,high,99.6
4.8,75.0,78.3,10,8.7,0.7,medium,medium,91.1
7.1,81.4,59.5,10,9.0,1.2,high,medium,98.2
7.8,90.3,78.1,12,8.8,3.1,medium,medium,100.0
6.3,93.0,62.4,7,8.1,1.9,low,high,94.2
7.9,91.5,76.9,8,5.5,2.3,low,high,100.0
6.6,97.4,75.7,7,7.0,3.6,medium,low,99.3
7.3,73.9,71.0,7,7.4,0.7,low,medium,100.0
4.2,97.5,81.9,3,6.9,3.1,medium,high,95.3
5.6,85.5,46.4,11,7.0,4.3,medium,medium,89.6
6.5,93.9,54.0,5,8.9,4.4,medium,low,86.2
8.1,77.4,65.9,8,6.1,3.8,low,medium,96.9
5.0,88.0,48.4,4,8.0,2.9,medium,high,84.4
7.3,89.9,63.9,10,7.4,2.1,medium,low,90.9
5.3,97.2,64.4,6,6.0,2.9,medium,medium,93.1
5.7,75.3,89.6,5,5.7,5.5,low,medium,83.5
8.1,88.2,72.1,8,5.0,3.4,medium,medium,100.0
1.0,79.3,85.4,6,7.6,2.8,low,low,87.2
2.8,92.0,74.5,7,6.9,3.8,low,medium,88.2
2.3,94.2,62.0,8,6.0,3.1,medium,medium,70.7
0.2,98.3,72.0,10,4.7,3.3,medium,low,73.8
4.3,83.7,80.9,6,7.5,2.6,low,medium,93.1
7.9,95.4,87.9,6,6.8,2.4,medium,medium,89.6
5.3,98.9,68.0,8,6.1,4.5,medium,low,97.0
6.5,74.9,45.3,9,5.8,0.1,medium,medium,90.3
8.7,92.9,44.2,12,6.7,3.7,medium,high,100.0
9.3,95.7,65.1,5,7.6,2.3,high,medium,99.8
5.8,85.9,34.9,7,6.6,0.1,medium,medium,81.0
9.4,78.3,96.9,11,5.6,1.5,low,medium,100.0
6.2,95.5,79.0,12,6.9,2.9,high,medium,100.0
3.9,78.4,60.5,6,8.3,3.2,low,medium,83.2
4.5,86.6,53.4,6,7.0,4.1,medium,high,91.3
2.3,87.7,85.4,9,7.1,4.2,high,medium,100.0
3.8,93.7,53.3,7,6.6,0.7,low,medium,77.6
5.1,83.0,54.7,6,5.9,3.6,low,medium,84.1
8.0,82.5,58.5,9,5.9,4.1,low,medium,100.0
10.3,88.8,71.7,12,5.0,3.3,high,medium,100.0
2.5,96.1,79.3,5,8.4,3.8,medium,medium,93.9
7.0,100.0,87.9,12,7.6,0.1,medium,medium,100.0
3.4,75.9,85.7,7,7.1,1.5,low,medium,90.2
7.2,90.5,70.0,9,7.4,5.0,low,medium,100.0
5.7,79.3,85.3,12,7.4,2.6,low,high,100.0
1.4,96.2,59.9,9,6.1,6.3,high,medium,88.2
8.3,80.5,42.7,7,6.6,1.1,low,high,96.5
4.5,82.6,59.9,10,6.4,5.3,high,medium,80.0
4.7,83.3,57.9,8,10.0,2.1,medium,medium,91.3
3.3,87.4,60.5,9,8.2,4.3,high,medium,93.4
4.4,90.6,55.6,7,7.2,2.6,medium,high,92.9
7.1,91.9,63.1,10,8.6,3.2,medium,medium,100.0
5.5,88.0,79.3,5,8.5,3.9,low,low,84.1
6.8,77.4,95.7,5,5.3,2.1,medium,medium,100.0
6.9,93.8,44.1,4,6.7,4.2,medium,high,88.6
9.3,87.6,50.7,8,7.0,2.6,low,medium,93.4
5.1,97.3,58.1,4,7.7,3.3,high,high,82.9
2.3,82.3,81.5,6,6.7,0.0,low,high,87.5
8.7,75.2,66.9,5,6.9,2.5,low,medium,92.1
5.2,87.7,59.1,12,6.4,4.9,medium,high,99.8
